PARTICIPANT,AGE OF ACQUISITION,PROFICIENCY GROUP,PROFICIENCY TEST SCORE,CP3,CPZ,CP4,P3,PZ,P4,O1,OZ,O2,grandmean
64,15,LOW,21,-0.375020236,-1.118480206,-1.460198879,0.001266658,-1.161566615,-0.398401976,-0.292445898,-0.539199412,-1.144329906,-0.7209307188888888
65,13.5,LOW,24,7.373071671,8.449168205,6.911596298,6.983998775,6.635212421,5.831617355,3.985743999,3.564906359,3.615406752,5.927857981666666
66,14,LOW,28,6.932705879,7.761319637,7.578334808,7.671460629,8.183142662,8.207582474,7.607993603,7.522764206,7.85613203,7.7023817697777774
67,15,LOW,26,3.079361439,3.163278103,3.016264439,3.28229785,3.054981232,3.526911736,2.329621315,2.136652708,2.010472775,2.8444268441111107
68,14,LOW,26,2.039268255,2.87116313,5.971326351,3.714702606,4.525939465,7.192295074,3.459168434,2.58265543,4.071953297,4.047608004666667
69,11,LOW,21,7.569932461,5.180162907,7.261991501,7.037992001,4.929029465,6.968646526,4.216255665,4.593601704,4.522815704,5.808936437111111
70,14,LOW,17,-0.085493684,-1.159895778,0.375751227,1.024608493,0.485637814,2.3105371,0.590639651,1.140672803,1.637624383,0.7022313343333333
71,20,LOW,18,9.294765472,7.078108788,6.694762707,8.753987312,7.183933735,6.003360271,3.99946022,3.096660376,2.479003191,6.064893563555556
72,13,LOW,13,6.843138695,6.620900631,5.149489403,7.83482933,8.506566048,5.274812698,4.847589493,4.075826645,3.229178667,5.820259067777777
73,15,LOW,12,0.305025131,0.759944081,2.883518934,0.681257188,0.888631999,2.629771471,-0.426229298,0.419460237,0.791764855,0.992571622
74,16,LOW,15,5.484560013,8.092351913,8.2801227569999991,5.738316059,7.734942436,8.8435812,4.630124092,5.456629753,6.242795467,6.722602632222222
75,12,LOW,21,3.435839176,3.573597908,4.122166634,3.538172483,3.577192068,3.549900055,1.262318254,0.796475232,0.625222981,2.720098310111111
76,14,LOW,28,5.992770195,5.49139595,6.698885918,5.991233826,4.89586544,6.774625778,3.773152828,4.036505699,4.684790134,5.371025085333334
77,13,LOW,25,0.627557278,-1.938703179,-2.269838095,1.521077514,-0.523673236,-0.816821098,3.649845123,2.33629179,2.250575781,0.5373679864444445
78,14,LOW,28,4.413567543,4.502955914,4.397294044,5.4872756,6.641668797,6.029691219,7.512541771,6.454742432,6.988195419,5.825325859888889
