PARTICIPANT,AGE OF ACQUISITION,PROFICIENCY GROUP,PROFICIENCY TEST SCORE,CP3,CPZ,CP4,P3,PZ,P4,O1,OZ,O2,grandmean
59,14,LOW,23,3.277650595,1.698172212,1.691136718,4.769552231,3.14693594,2.165587664,3.496616364,2.830054522,1.848248124,2.7693282633333336
60,15,LOW,24,5.997272968,4.973661423,4.967325687,6.704848766,5.795332909,4.812434673,4.780194283,3.923929453,3.561110258,5.057345602222222
61,18,LOW,22,4.254209518,4.427111149,3.7902789119999998,4.240568638,3.85864687,4.443883419,1.759274006,1.345522404,2.349511147,3.3854451181111114
62,11,LOW,24,-0.303494245,-2.970163822,-1.343434811,-0.704528093,-2.16080904,-0.752002954,3.361248255,1.403561831,1.074557066,-0.2661184236666667
63,14,LOW,24,2.938668728,4.043549061,3.695020676,3.038490295,4.53826046,4.051229954,1.861369967,1.944287419,2.742172003,3.205894284777778
64,15,LOW,21,1.485183716,1.240230322,1.826145172,1.515110016,1.465010643,1.71423912,0.168536633,0.246626943,0.090196215,1.08347542
65,13.5,LOW,24,6.28215313,6.244882107,5.333834171,5.354529381,5.206908226,4.567917347,3.771102667,3.229130507,3.068619013,4.784341838777778
66,14,LOW,28,6.850047112,6.422062874,6.896225452,7.346623421,7.118053436,7.340673923,7.135555744,6.503296852,7.031745434,6.960476027555555
67,15,LOW,26,1.514735699,2.174929619,2.525866985,2.302965641,2.840420961,3.023862123,2.612448215,2.976155758,3.313637018,2.587224668777778
68,14,LOW,26,2.185990572,4.30846262,3.877579689,3.240049124,4.223631382,3.787460327,2.702412844,1.711013794,2.138311386,3.1305457486666666
69,11,LOW,21,3.176359415,1.755629778,2.365841389,3.929522038,1.062780738,1.608219743,2.888737917,2.432794809,1.470004559,2.2988767095555556
70,14,LOW,17,-1.221354008,-1.777209878,-1.209120393,-0.60406965,-0.617336512,0.120292738,-0.268903524,-0.039464444,1.053599477,-0.5070629104444444
71,20,LOW,18,7.173723221,3.292188406,2.701836109,7.371333599,3.909024239,2.480239868,2.623746634,1.181300759,-0.198787674,3.392733906777778
72,13,LOW,13,3.744765759,2.200206995,2.1083951,5.555443287,4.778195858,3.137340069,5.088307858,4.294813633,3.786791086,3.8549177383333335
73,15,LOW,12,-2.599338531,-3.665359497,-1.456636667,-2.515445709,-3.593744755,-2.290430307,-2.863269567,-2.697414637,-2.792330027,-2.7193299663333335
74,16,LOW,15,1.148721337,0.148954019,0.285134375,2.411607742,-0.366496742,0.215655133,1.690869331,1.449002147,0.689747691,0.8525772258888888
75,12,LOW,21,4.001408577,3.566015005,2.972779989,3.40442276,2.916261435,2.885135412,0.786506951,0.271383077,0.281254917,2.3427964581111107
76,14,LOW,28,2.386655331,1.303948045,2.460927248,1.934050679,0.738874674,1.776560307,0.076465331,-0.151487231,0.280500442,1.200721647333333
77,13,LOW,25,2.443225622,-1.01476872,0.604503334,3.8037076,0.836379945,1.611947536,4.62024641,2.646430731,2.1041677,1.9617600175555556
78,14,LOW,28,4.916232109,5.072306156,4.741324902,4.783251762,5.142066002,5.097389221,3.940557718,3.207452536,3.956495523,4.539675103222222
